日期,预测值_x,真实值_x,误差_x,标签,真实值_y,预测值_y,误差_y
12/1/16,747.41,742.05,5.360000000000014,0,1161.85,1204.4509827495008,42.60098274950087
12/2/16,749.24,772.43,23.18999999999994,0,1173.5,1200.0275432371834,26.52754323718341
12/3/16,752.44,764.33,11.889999999999986,1,,,
12/4/16,755.12,762.97,7.850000000000023,1,,,
12/5/16,757.6,754.63,2.9700000000000273,0,1162.2,1193.3153121888781,31.11531218887808
12/6/16,759.59,756.62,2.9700000000000273,0,1172.5,1189.552920030647,17.0529200306471
12/7/16,761.57,758.99,2.580000000000041,0,1177.65,1186.732007855849,9.082007855848815
12/8/16,763.57,769.72,6.149999999999977,0,1171.05,1184.4271248098266,13.377124809826682
12/9/16,765.97,770.02,4.0499999999999545,0,1163.6,1181.8652936145952,18.265293614595294
12/10/16,768.27,769.08,0.8100000000000591,1,,,
12/11/16,770.43,777.0,6.57000000000005,1,,,
12/12/16,772.84,777.0,4.159999999999968,0,1156.1,1175.4727314400716,19.372731440071675
12/13/16,775.15,777.99,2.840000000000032,0,1158.55,1172.5013721828502,13.951372182850264
12/14/16,777.4,774.89,2.509999999999991,0,1162.25,1169.870598093499,7.620598093498984
12/15/16,779.43,776.75,2.67999999999995,0,1126.95,1167.6192833093055,40.669283309305456
12/16/16,781.45,775.88,5.57000000000005,0,1131.6,1163.4912187872708,31.891218787270873
12/17/16,783.35,788.7,5.350000000000023,1,,,
12/18/16,785.7,788.4,2.699999999999932,1,,,
12/19/16,787.94,788.67,0.7299999999999045,0,1136.25,1156.120364636929,19.870364636929025
12/20/16,790.1,793.09,2.990000000000009,0,1125.7,1153.1041492394752,27.404149239475146
12/21/16,792.35,824.21,31.860000000000014,0,1133.65,1149.6801605796293,16.030160579629182
12/22/16,795.73,834.97,39.24000000000001,0,1131.35,1146.89180207999,15.54180207999002
12/23/16,799.41,901.31,101.89999999999998,1,,,
12/24/16,805.5,891.61,86.11000000000001,1,,,
12/25/16,811.01,892.6,81.59000000000003,1,,,
12/26/16,816.37,897.33,80.96000000000004,1,,,
12/27/16,821.72,930.37,108.64999999999998,1,,,
