日期,标签,预测值,真实值,误差
3/4/18,1,11430.18167,10547.808238871628,882.3734311283715
3/5/18,0,11516.83,10578.073052651864,938.7569473481362
3/6/18,0,10763.19833,10608.760790858378,154.43753914162153
3/7/18,0,10118.058,10633.66659699479,515.608596994789
3/8/18,0,9920.46,10653.63756949523,733.1775694952303
3/9/18,0,9089.278333,10672.005279126448,1582.7269461264477
3/10/18,1,8746.002,10684.132818092912,1938.1308180929118
3/11/18,1,8777.37,10693.646028011482,1916.2760280114817
3/12/18,0,9182.843333,10703.306074822267,1520.4627418222663
3/13/18,0,9154.7,10715.842484134973,1561.1424841349726
3/14/18,0,9153.54,10728.072394170189,1574.5323941701881
3/15/18,0,8358.121667,10740.194582637574,2382.0729156375746
3/16/18,0,8530.402,10746.444016734331,2216.042016734331
3/17/18,1,8297.89,10753.880909586427,2455.9909095864277
3/18/18,1,8171.415,10759.567667340605,2588.152667340605
3/19/18,0,8412.033333,10764.284155315978,2352.2508223159784
3/20/18,0,8605.64,10770.684001613276,2165.044001613276
3/21/18,0,8947.753333,10778.415413923649,1830.6620809236483
3/22/18,0,8690.408333,10788.534150748732,2098.1258177487325
3/23/18,0,8725.37,10796.72380470602,2071.353804706019
3/24/18,1,8662.378333,10805.091576530842,2142.7132435308413
3/25/18,1,8617.296667,10812.93640428199,2195.63973728199
3/26/18,0,8457.96,10820.390218624403,2362.430218624404
3/27/18,0,7876.195,10826.64298400237,2950.4479840023705
3/28/18,0,7960.38,10828.703070363481,2868.323070363481
3/29/18,0,7950.61,10831.327019294506,2880.717019294506
3/30/18,1,6882.531667,10833.845221050075,3951.3135540500743
3/31/18,1,6935.48,10828.779353251917,3893.2993532519176
4/1/18,1,6937.56,10824.098131951965,3886.5381319519647
4/2/18,1,7035.848333,10819.440347107797,3783.592014107797
4/3/18,0,7410.435,10815.482209852296,3405.047209852296
4/4/18,0,7426.48,10814.157195621054,3387.677195621054
4/5/18,0,6826.51,10812.932938872924,3986.4229388729236
4/6/18,0,6603.876667,10807.5009046029,4203.6242376029
4/7/18,1,6634.68,10800.528305347434,4165.848305347434
4/8/18,1,7017.656667,10793.793391445819,3776.136724445819
4/9/18,0,6699.273333,10789.744270888059,4090.470937888059
4/10/18,0,6784.41,10783.489471090064,3999.0794710900645
4/11/18,0,6926.266667,10777.843619027084,3851.576952027084
4/12/18,0,7847.845,10773.194563588611,2925.349563588611
4/13/18,0,7941.46,10774.921297956475,2833.4612979564745
4/14/18,1,8036.511051,10777.264322372801,2740.7532713728006
4/15/18,1,8340.748333,10780.228795240313,2439.4804622403135
4/16/18,0,8368.1,10785.247660942434,2417.1476609424335
4/17/18,0,7895.416926,10790.405374175978,2894.988448175978
4/18/18,0,8164.937426,10792.276006500804,2627.338580500804
4/19/18,0,8175.96,10795.959775794352,2619.999775794352
4/20/18,0,8852.718333,10799.67831106863,1946.9599780686294
4/21/18,1,8807.205,10807.967914847413,2000.7629148474134
4/22/18,1,8930.6,10815.880230630293,1885.2802306302929
4/23/18,0,8933.861667,10824.565255107289,1890.7035881072898
4/24/18,0,9555.542,10833.202660837547,1277.6606608375478
4/25/18,0,9658.11,10845.97841266658,1187.8684126665794
4/26/18,0,9258.398333,10859.35356528606,1600.95523228606
4/27/18,0,9010.32,10869.93553013582,1859.6155301358194
4/28/18,1,8928.55,10878.766584710933,1950.2165847109336
4/29/18,1,9334.281667,10886.97803331957,1552.696366319571
4/30/18,0,9259.57,10897.84640394784,1638.2764039478407
5/1/18,0,9239.55,10908.132646366721,1668.5826463667217
5/2/18,0,9221.426,10918.206993580192,1696.7809935801924
5/3/18,0,9639.268333,10928.083721540203,1288.8153885402025
5/4/18,0,9753.35,10940.670777902238,1187.3207779022378
5/5/18,1,9803.306667,10953.926190988495,1150.6195239884946
