预测值,实际值,损失
1263.052734375,1266.55,12.4461669921875
1276.393310546875,1266.4,20.77880859375
1298.3878173828125,1262.0,33.5574951171875
1266.765869140625,1275.5,5.5128173828125
1271.0155029296875,1254.55,1.090576171875
1272.2078857421875,1255.4,0.076416015625
1251.197998046875,1248.15,11.1385498046875
1220.8646240234375,1242.2,19.4215087890625
1244.0152587890625,1242.5,17.62939453125
1237.1202392578125,1250.8,21.816162109375
1240.139892578125,1255.7,0.0950927734375
1243.39208984375,1245.25,0.08642578125
1240.4483642578125,1249.55,11.7381591796875
1294.9869384765625,1248.0,42.6529541015625
1248.3179931640625,1243.5,14.782958984375
1245.714111328125,1242.25,5.791748046875
1261.0699462890625,1229.25,13.0858154296875
1222.7093505859375,1223.75,15.9130859375
1232.780029296875,1220.3,0.4197998046875
